UPN,Top_Y,Top_X,Top_Z
12967,365744.3799725,2260954.18841,890.82812896
43671,365797.60464,2261461.201456,902.15275446
21877,0,0,0
12966,365717.839925,2260954.2101375,890.26701518
13137,365770.967094,2261461.301478,901.58460235
21876,0,0,0
12965,365691.2790775,2260954.093735,889.90600432
13136,365744.336628,2261461.184184,900.9106736
21875,0,0,0
12964,0,0,0
21874,0,0,0
12963,0,0,0
21873,0,0,0
13135,365717.77152,2261461.203162,899.88430435
12962,0,0,0
21872,0,0,0
13134,365691.048071,2261461.210548,899.19007443
12961,0,0,0
21871,0,0,0
13147,0,0,0
46525,0,0,0
41091,0,0,0
13133,0,0,0
12960,0,0,0
41092,0,0,0
13131,0,0,0
12987,0,0,0
2206,0,0,0
13130,0,0,0
12988,0,0,0
2205,0,0,0
12989,0,0,0
2204,0,0,0
12990,0,0,0
46519,0,0,0
2203,0,0,0
13018,0,0,0
13129,0,0,0
2202,0,0,0
13017,0,0,0
13128,0,0,0
2210,0,0,0
39630,0,0,0
13127,0,0,0
2221,0,0,0
39631,0,0,0
13126,0,0,0
2222,0,0,0
44653,0,0,0
13125,0,0,0
2223,0,0,0
21944,0,0,0
5884,0,0,0
21957,0,0,0
2242,0,0,0
13124,0,0,0
21943,0,0,0
2241,0,0,0
13123,0,0,0
21941,0,0,0
2240,0,0,0
39612,0,0,0
21940,0,0,0
2239,0,0,0
39611,0,0,0
21939,0,0,0
2238,365953.815569,2261266.222502,903.0579243
44871,0,0,0
21938,0,0,0
2237,365927.242114,2261266.212815,902.83365305
30303,0,0,0
21937,0,0,0
2236,365900.634284,2261266.208942,902.57760364
2235,365874.1067405,2261266.290997,901.95736929
47193,0,0,0
2234,365847.482231,2261266.184335,901.04351136
30302,0,0,0
21936,0,0,0
41077,365797.599268,2261266.180488,898.2842
30301,0,0,0
21935,0,0,0
41076,365771.096544,2261266.3248,897.38431345
30300,0,0,0
21934,0,0,0
21962,365744.3733315,2261266.178899,896.7918709
30299,0,0,0
21933,0,0,0
21961,365717.7748875,2261266.2259625,896.23600482
30298,0,0,0
21932,365953.80083,2260973.812327,898.99773816
21928,365691.1997475,2261266.2063705,896.0239143
30297,0,0,0
21931,365927.354851,2260973.801399,898.59413679
21927,0,0,0
21930,365900.715954,2260973.801065,897.9013802
21926,0,0,0
21929,365874.2104,2260973.787033,896.96530468
30296,0,0,0
21910,0,0,0
44654,365847.464085,2260973.868359,895.98334072
47797,0,0,0
21892,0,0,0
43662,365797.541088,2260973.775238,893.01643024
30295,0,0,0
13016,365771.0963885,2260973.7655345,891.86281608
47196,0,0,0
30294,0,0,0
13015,365744.3937405,2260973.6980335,890.96209712
21891,0,0,0
30293,0,0,0
13014,365717.8188225,2260973.725751,890.4260742
21890,0,0,0
30354,0,0,0
13013,365691.2452025,2260973.7402285,890.09184873
21889,0,0,0
13012,0,0,0
21888,0,0,0
13011,0,0,0
30386,365953.789596,2261480.705148,902.98845528
21887,0,0,0
13010,0,0,0
30387,365927.2050005,2261480.696236,902.64582726
21886,0,0,0
13009,0,0,0
30388,365900.580097,2261480.699877,902.48793846
21885,0,0,0
46526,0,0,0
30480,365874.02664,2261480.752482,902.56995926
41075,0,0,0
13008,0,0,0
44872,365847.452746,2261480.816148,902.4448354
41074,0,0,0
13007,0,0,0
43672,365797.525398,2261480.721354,901.86850657
44760,0,0,0
13006,0,0,0
22367,0,0,0
13019,0,0,0
22366,0,0,0
13122,365770.8576,2261480.6797085,901.51595712
13005,0,0,0
22365,0,0,0
13121,365744.516026,2261480.755078,900.82128848
13003,0,0,0
22364,0,0,0
13120,365717.8616905,2261480.887236,899.88654765
13002,0,0,0
22363,0,0,0
13119,365691.167468,2261480.757942,899.16158385
39632,0,0,0
22362,0,0,0
12959,0,0,0
39648,0,0,0
22361,0,0,0
12958,0,0,0
44655,0,0,0
22360,0,0,0
21942,0,0,0
47208,0,0,0
21959,0,0,0
12957,0,0,0
22359,0,0,0
21974,0,0,0
12830,0,0,0
22358,0,0,0
21960,0,0,0
46535,0,0,0
22371,0,0,0
21988,0,0,0
12796,0,0,0
22357,0,0,0
21987,0,0,0
12795,0,0,0
22355,365953.911651,2261285.769727,903.28405795
21986,0,0,0
12794,0,0,0
22354,365927.187177,2261285.76229,903.07115916
21985,0,0,0
22353,365900.5833245,2261285.72005,902.76011784
47194,0,0,0
12793,0,0,0
40980,365874.057783,2261285.75664,902.14001143
21984,0,0,0
12792,0,0,0
40979,365847.322282,2261285.818461,901.18621766
21983,0,0,0
12791,0,0,0
41081,365797.578638,2261285.730239,898.6013781
21982,0,0,0
12790,0,0,0
41080,365771.057924,2261285.734979,897.93160338
21981,0,0,0
39592,0,0,0
21976,365744.4305875,2261285.7719,897.43660108
21980,365953.8086535,2260993.2854675,898.8083228
39590,0,0,0
21989,365717.776854,2261285.724368,897.1486274
21979,365927.40865,2260993.3185985,898.22731096
44875,0,0,0
21978,365900.7117805,2260993.265149,897.37916948
30463,0,0,0
21977,365874.073225,2260993.276132,896.20342308
21975,365691.289736,2261285.683884,896.7749976
30462,0,0,0
44656,365847.515733,2260993.31065,895.1971591
21973,0,0,0
30461,0,0,0
44669,365797.598364,2260993.265847,892.82490537
21972,0,0,0
30460,0,0,0
22118,365771.029416,2260993.2257325,891.9733614
21971,0,0,0
30459,0,0,0
22117,365744.35759,2260993.202976,891.3383292
21970,0,0,0
30458,0,0,0
21990,365717.840774,2260993.213744,890.5612814
47195,0,0,0
30457,0,0,0
21956,365691.282868,2260993.212067,889.99579072
30456,0,0,0
21955,0,0,0
47798,0,0,0
21969,0,0,0
21954,0,0,0
30455,0,0,0
21968,0,0,0
21953,0,0,0
30454,0,0,0
21967,0,0,0
21952,0,0,0
30453,0,0,0
21966,0,0,0
47192,0,0,0
30466,0,0,0
21965,0,0,0
21951,0,0,0
30483,365953.75958,2261500.2966275,902.69736425
21964,0,0,0
21950,0,0,0
30498,365927.263125,2261500.30962,902.2152437
30484,365900.65667,2261500.288535,902.00464784
21949,0,0,0
30512,365874.090105,2261500.288007,902.11428182
21963,0,0,0
21948,0,0,0
44876,365847.466275,2261500.277275,901.91844172
41079,0,0,0
21947,0,0,0
43673,365797.6221995,2261500.2160935,901.432566
41078,0,0,0
21946,0,0,0
12789,365770.989023,2261500.360769,900.91425608
45293,0,0,0
21945,0,0,0
12788,365744.3180415,2261500.381685,900.38801479
29511,0,0,0
41083,0,0,0
12787,365717.8125755,2261500.282743,899.53428092
29510,0,0,0
41082,0,0,0
12786,365691.300836,2261500.326718,898.88179776
44757,0,0,0
12785,0,0,0
22334,0,0,0
29509,0,0,0
12784,0,0,0
22333,0,0,0
29508,0,0,0
12797,0,0,0
22332,0,0,0
29507,0,0,0
12783,0,0,0
22331,0,0,0
29506,0,0,0
46518,0,0,0
22330,0,0,0
29505,0,0,0
12781,0,0,0
22329,0,0,0
29504,0,0,0
12780,0,0,0
22328,0,0,0
12779,0,0,0
22327,0,0,0
12778,0,0,0
47675,0,0,0
47223,0,0,0
12777,0,0,0
29503,0,0,0
22326,0,0,0
12776,0,0,0
29502,0,0,0
22339,0,0,0
12775,0,0,0
29501,0,0,0
22325,0,0,0
39589,0,0,0
29500,0,0,0
22323,0,0,0
39588,0,0,0
29499,365953.8448135,2261305.2682,903.312
22322,365953.877504,2261012.7889255,898.44171903
44899,0,0,0
22321,365927.3717305,2261012.7558055,897.73879354
30495,0,0,0
22320,365900.709504,2261012.777468,896.80777497
29526,365927.148751,2261305.208352,903.1471084
30494,0,0,0
22319,365874.1917825,2261012.809038,895.5460413
29527,365900.516338,2261305.200849,902.79103745
30493,0,0,0
44758,365847.5482425,2261012.7690295,894.65412068
29528,365873.987296,2261305.218576,902.18561984
30492,0,0,0
44707,365797.6155225,2261012.6834,892.77599391
45294,365847.44085,2261305.258291,901.2277755
30491,0,0,0
22293,365770.9953115,2261012.673822,892.30096147
43663,365797.570126,2261305.241198,898.81933818
30490,0,0,0
22291,365744.343652,2261012.732288,891.87485757
13001,365770.933876,2261305.2679225,898.24175596
30489,0,0,0
22290,365717.8339735,2261012.746037,891.19208152
30488,0,0,0
22289,365691.3287,2261012.700264,890.50325837
47779,0,0,0
13000,365744.5187665,2261305.301287,898.03078522
22288,0,0,0
30487,0,0,0
12999,365717.73429,2261305.2035485,897.91650348
22287,0,0,0
30486,0,0,0
12998,365691.1966835,2261305.3218445,897.56133142
22286,0,0,0
30485,0,0,0
12997,0,0,0
22285,0,0,0
30452,0,0,0
12996,0,0,0
47191,0,0,0
30482,365953.84335,2261519.7784825,902.42253753
12995,0,0,0
22284,0,0,0
30451,365927.206234,2261519.754532,901.99289256
22283,0,0,0
30418,365900.577464,2261519.768429,901.76809643
22282,0,0,0
12994,0,0,0
30416,365874.087713,2261519.779429,901.75866297
22281,0,0,0
46527,0,0,0
44917,365847.529098,2261519.781854,901.47069832
22280,0,0,0
12993,0,0,0
43658,365797.5878525,2261519.8010025,900.45851006
22279,0,0,0
12992,0,0,0
12774,365770.976857,2261519.758749,900.11409466
22119,0,0,0
12991,0,0,0
12773,365744.48639,2261519.85615,899.53697514
41085,0,0,0
13052,0,0,0
12772,365717.813879,2261519.8339365,898.79957075
41084,0,0,0
44755,0,0,0
12771,365691.304685,2261519.730208,898.2485108
22158,0,0,0
13084,0,0,0
12770,0,0,0
22157,0,0,0
13085,0,0,0
12769,0,0,0
22156,0,0,0
13086,0,0,0
