UPN,Bot_Y,Bot_X,Bot_Z
30416,365874.053098,2261519.764613,897.757127
22281,0,0,0
46527,0,0,0
44917,365847.470385,2261519.7936625,897.414603
22280,0,0,0
12993,0,0,0
43658,365797.5704575,2261519.8163195,896.413207
22279,0,0,0
12992,0,0,0
12774,365770.9265,2261519.786896,895.972126
22119,0,0,0
12991,0,0,0
12773,365744.3902725,2261519.8939705,895.305677
41085,0,0,0
13052,0,0,0
12772,365717.8041255,2261519.837518,894.61834
41084,0,0,0
44755,0,0,0
12771,365691.255108,2261519.7667345,894.143404
22158,0,0,0
13084,0,0,0
12770,0,0,0
22157,0,0,0
13085,0,0,0
12769,0,0,0
22156,0,0,0
13086,0,0,0
12782,0,0,0
22155,0,0,0
39647,0,0,0
12799,0,0,0
22154,0,0,0
39646,0,0,0
46516,0,0,0
22153,0,0,0
45091,0,0,0
12814,0,0,0
22152,0,0,0
12800,0,0,0
22151,0,0,0
12828,0,0,0
29542,0,0,0
47222,0,0,0
12827,0,0,0
29541,0,0,0
22212,0,0,0
12826,0,0,0
29540,0,0,0
22244,0,0,0
12825,0,0,0
29539,0,0,0
22245,0,0,0
12824,0,0,0
29538,0,0,0
22246,0,0,0
39587,0,0,0
29537,0,0,0
22338,365953.846578,2261032.231252,893.824186
39586,0,0,0
22337,365927.239516,2261032.24704,893.2288
44921,0,0,0
22336,365900.6503905,2261032.2418795,892.229068
29536,0,0,0
30399,0,0,0
22335,365874.090093,2261032.201839,892.039702
29535,0,0,0
30398,0,0,0
44756,365847.495676,2261032.309698,891.36774
47828,0,0,0
30397,0,0,0
44708,365797.58891,2261032.214225,889.251072
29534,0,0,0
30396,0,0,0
22278,365770.994862,2261032.189671,888.551018
29533,0,0,0
30395,0,0,0
22306,365744.424512,2261032.2221495,888.169833
29532,0,0,0
30394,0,0,0
22305,365717.760184,2261032.23285,887.627856
30393,0,0,0
22304,365691.226894,2261032.193248,886.942869
30392,0,0,0
29531,0,0,0
22303,0,0,0
47765,0,0,0
29530,365953.8695225,2261324.79441,898.962808
22302,0,0,0
30391,0,0,0
29591,365927.273646,2261324.791928,898.715532
22301,0,0,0
30390,0,0,0
29624,365900.642098,2261324.752903,898.432215
22300,0,0,0
30389,0,0,0
29718,365874.097015,2261324.77362,897.930752
47190,0,0,0
30402,0,0,0
45384,365847.511782,2261324.749866,896.933988
